CATEGORIA;TÍTULO;PRECIO;HORAS
ChatGPT Nivel 1;Curso 65 aplicaciones prácticas de ChatGPT;495;60
ChatGPT Nivel 1;ChatGPT Inicial;412;50
ChatGPT Nivel 2;ChatGPT para Marketing Online;412;50
ChatGPT Nivel 2;GPTS;330;40
ChatGPT Nivel 2;ChatGPT para la Dirección y la Administración;495;60
ChatGPT Nivel 2;ChatGPT para Administración;495;60
ChatGPT Nivel 2;ChatGPT para Ingeniería Prompts y Finanzas;577;70
ChatGPT Nivel 2;ChatGPT para aumentar tu productividad en el trabajo y videos IA;495;60
ChatGPT Nivel 2;ChatGPT para delegar tareas en modo Agente;495;60
ChatGPT Nivel 2;ChatGPT para RRHH;660;80
ChatGPT Nivel 3;ChatGPT en Excel;247;30
ChatGPT Nivel 3;ChatGPT Avanzado. Plugins Automatizaciones y Data Analysis;330;40
ChatGPT Nivel 3;ChatGPT para desarrolladores: desde la interacción hasta la integración;330;40
ChatGPT Nivel 3;Replit;577;70
ChatGPT Nivel 3;Claude Code;577;70
ChatGPT Nivel 3;ChatGPT para Marketing avanzado;495;60
ChatGPT Nivel 3;Agentes de IA para Empresas;412;50
Ciberseguridad;Introducción al Hacking Ético y Seguridad en Redes;371;45
Ciberseguridad;Python avanzado para proyectos de seguridad;288;35
Ciberseguridad;Auditoría de Seguridad Informática y de Datos;330;40
Ciberseguridad;Iniciación a la Ciberseguridad para Usuarios;82;10
Ciberseguridad;Identidad Digital: Firma y Certificados Electrónicos;124;15
Ciberseguridad;Ciberseguridad para Usuarios. Protección y Prevención;247;30
Ciberseguridad;Verifactu, Ciberseguridad y Cumplimiento Normativo en la Facturación Electrónica;206;25
Combo;Curso excel Avanzado 365 e Introduccion a Power Automate;660;80
Combo;Creación de Páginas Web Profesionales con WordPress + Woocommerce Tienda Virtual;412;50
Combo;Tik Tok, Whatsapp Business, Instagram y Facebook ADS;495;60
Combo;IA Oficina Inicial;1400;170
Combo;Canva, Instagram y Facebook Ads;495;60
Combo;Autocad 2020 2D, 3D y Revit: Maquetación de planos;825;100
Combo;Contabilidad Total y Nóminas, Seguridad Social y Contratación Laboral;1236;150
Combo;Power BI y Power Automate;825;100
Combo;EXCEL 365 Avanzado Total y Power BI;825;100
Combo;Microsoft Office 365, Teams y Forms;618;75
Combo;Excel 365 Avanzado Total y  ChatGPT;742;90
Combo;ChatGPT Y Módulo de Reclutamiento y RR.HH;495;60
Combo;Plan de prevención de acoso e igualdad de género;412;50
Combo;Especialización en Chatgpt;1320;160
Combo;ChatGPT Total;660;80
Combo;ChatGPT Total V2;660;80
Combo;Orientación a resultados y objetivos Y Hábitos atómicos: productividad extraordinaria;262;35
Combo;ChatGPT Administracion Total;742;90
Combo;ChatGPT Total 2026;1815;220
Combo;Pack Datos Inicial;907;110
Contabilidad;Análisis Económico Financiero de la Empresa;165;20
Contabilidad;Aplicaciones Informáticas de Contabilidad;247;30
Contabilidad;Contabilidad Financiera;618;75
Contabilidad;Contabilidad de Costes;412;50
Contabilidad;Contabilidad Total;495;60
Contabilidad;Gestión Total contable, Fiscal y Laboral de Pymes;618;75
Contabilidad;Contabilidad Básico;165;20
Contabilidad;Contabilidad Medio;165;20
Contabilidad;Contabilidad Avanzado;165;20
Contabilidad;Análisis e Interpretación de Balances;206;25
Contabilidad;Fiscal Total;825;100
Contabilidad;Análisis contable;412;50
Contabilidad;Cotizaciones al régimen general de la seguridad social;330;40
Contabilidad;Gestión económica básica del pequeño comercio;412;50
Contabilidad;Fiscalidad Básica. IRPF, IVA, IS;247;30
Contabilidad;Contabilidad avanzada plus;412;50
Contabilidad;Contabilidad Básica;618;75
Contabilidad;Gestión de Proveedores;660;80
Contabilidad;Plan de Empresa/Negocio;619;75
Contabilidad;Contabilidad Practica para PYMES;495;60
Contabilidad;Factura Electrónica;82;10
Contabilidad;Sage 50: Contabilidad y Facturación;495;60
Contabilidad;Gestión y Valoración de Stocks: Visión Práctica;206;25
Contabilidad;Iniciación al Análisis Financiero de la Empresa;165;20
Contabilidad;Presto: Presupuestos, Mediciones y  Certificaciones;247;30
Contabilidad;Análisis Contable y Presupuestario;990;120
Contabilidad;UF0515 Plan general de contabilidad;742;90
Data Science;Introducción a la Inteligencia Artificial;247;30
Data Science;Microsoft SQL Server;371;45
Data Science;Business Analytics decisiones con datos e Introducción al Big Data;454;55
Data Science;Big Data y Transformacion Digital;330;40
Data Science;Business Intelligence y Transformacion Digital;288;35
Data Science;Machine Learning con Python. Descubre el Potencial de la Inteligencia Artificial;206;25
Data Science;Economia Digital y Smart Contracts;206;25
Data Science;Elasticsearch, Logstash y Kibana (ELK): Potencia el Valor de tus Datos;330;40
Desarrollo;Iniciación a la Programación en Python;288;35
Desarrollo;Introducción al Desarrollo de Apps en IOS y Swift;248;30
Desarrollo;Conceptos básicos para la implementación de un Chatbot;495;60
Desarrollo;BLOCKCHAIN;124;15
Desarrollo;Desarrollo de Aplicaciones con Angular 8;165;20
Desarrollo;Introducción a MongoDB;371;45
Desarrollo;Project Management;412;50
Desarrollo;Administración VMWare;371;45
Desarrollo;Virtualización con Hyper-V;165;20
Desarrollo;Microsoft Azure. Implementación en la Organización;577;70
Desarrollo;Introducción a SQL Server 2012;495;60
Desarrollo;Introducción a SQL Server;495;60
Desarrollo;Administración de SQL Server 2014;495;60
Desarrollo;Programacion en Android con Android Studio;660;80
Desarrollo;Claves para Dominar JavaScript;206;25
Desarrollo;Desarrollo Aplicaciones Oracle Forms Developer;495;60
Desarrollo;Ofimática en la nube: Google Drive básico;412;50
Desarrollo;Data Science con Python. De cero a experto;371;45
Desarrollo;Access 2021 Básico;247;30
Desarrollo;Control de versiones con Git/GitHub;371;45
Desarrollo;GitHub Copilot: optimiza la programación con inteligencia artificial;123;15
Desarrollo;Bases de datos NoSQL: MongoDB y CouchDB (IFCD72);247;30
Desarrollo;Desarrollo de software seguro: prácticas y principios para profesionales de TI;288;35
Desarrollo;Inteligencia Artificial en RRHH 360°: Reclutamiento, Evaluación del Desempeño y Gestión de Proyectos;618;75
Desarrollo Personal;Coaching y Liderazgo;412;50
Desarrollo Personal;Asertividad;206;25
Desarrollo Personal;Coaching;206;25
Desarrollo Personal;Escucha Activa y Empática;206;25
Desarrollo Personal;Felicidad en el Trabajo;206;25
Desarrollo Personal;Gestión del Estrés;206;25
Desarrollo Personal;Habilidades de Comunicación;206;25
Desarrollo Personal;Inteligencia Emocional;206;25
Desarrollo Personal;Interacción Personal;206;25
Desarrollo Personal;Liderazgo;206;25
Desarrollo Personal;Marca Personal;206;25
Desarrollo Personal;Mindfulness;206;25
Desarrollo Personal;Motivación;206;25
Desarrollo Personal;Negociación;206;25
Desarrollo Personal;Resiliencia;206;25
Desarrollo Personal;Resolución de Conflictos;206;25
Desarrollo Personal;Resolución de Problemas;206;25
Desarrollo Personal;Preparación al Examen Oficial PMP;371;45
Desarrollo Personal;Comunicación Telefónica;99;12
Desarrollo Personal;Dirección Estratégica en la Empresa;247;30
Desarrollo Personal;Equipos de Trabajo;165;20
Desarrollo Personal;Liderazgo Creativo de Equipos;247;30
Desarrollo Personal;Aumenta tu Efectividad;247;30
Desarrollo Personal;Claves para la Gestión del Tiempo;123;15
Desarrollo Personal;Gestión Eficaz del Tiempo;206;25
Desarrollo Personal;TIPOLOGÍA DE AVERÍAS EN ELECTRODOMÉSTICOS DE GAMA INDUSTRIAL;247;30
Desarrollo Personal;Oratoria y construcción del discurso;412;50
Desarrollo Personal;Persuasión;206;25
Desarrollo Personal;Primeros Auxilios;247;30
Desarrollo Personal;Francés Nivel Básico;247;30
Desarrollo Personal;Prevención del acoso sexual y de la violencia en el lugar de trabajo;16;2
Desarrollo Personal;Prevención de Riesgos Psicosociales;16;2
Desarrollo Personal;Francés A2;742;90
Desarrollo Personal;Cómo lograr tu desarrollo y crecimiento personal;330;40
Desarrollo Personal;Salud, Nutrición y Dietética;412;50
Desarrollo Web;Wordpress en el Sector de la Publicidad (IFCT124PO);990;120
Desarrollo Web;Wordpress - Posicionamiento Web y Optimización en Buscadores;495;60
Desarrollo Web;Tienda Virtual: Prestashop;495;60
Desarrollo Web;WordPress. Creación de Blogs;537;65
Desarrollo Web;WordPress. Creación de Blogs;536;65
Desarrollo Web;HTML5;495;60
Desarrollo Web;Desarrollo web con React: creación de aplicaciones interactivas e innovadoras;165;20
Desarrollo Web;Kubernetes: gestión de contenedores;288;35
Desarrollo Web;Kubernetes: gestión de contenedores;288;35
Desarrollo Web;Angular 20: desarrollo de aplicaciones web escalables;288;35
Desarrollo Web;Wordpress Total v2026;495;60
Desarrollo Web;Wordpress Total + IA;495;60
Diseño;Photoshop CS6;495;60
Diseño;InDesign CS6;495;60
Diseño;Curso de Adobe Premiere - Introducción;495;60
Diseño;illustrator CS6;495;60
Diseño;Estructuras de Hormigón con CYPECAD (EOCE004PO);660;80
Diseño;Autocad 2020 2D;330;40
Diseño;Autocad 2020 2D Y 3D;495;60
Diseño;SolidWorks 2017 Iniciación;330;40
Diseño;Adobe Photoshop CC 2022 Basico;495;60
Diseño;Adobe Premiere Pro CC 2017;206;25
Diseño;Illustrator CC;412;50
Diseño;Design Thinking: Explota tu Potencial;124;15
Diseño;Diseño gráfico vectorial con Corel Draw;578;70
Diseño;Canva: Creación de Materiales Gráficos;247;30
Diseño;Revit: Iniciación al Diseño 3D;412;50
Diseño;Diseño Gráfico Vectorial con Adobe Illustrator Básico;660;80
Diseño;Creación de Páginas Web Profesionales con Wordpress y Divi;288;35
Diseño;GIMP: Edición de Imagen con Software Libre;330;40
Diseño;Genially: Creación de Contenidos Interactivos;165;20
Diseño;Tutorización de Cursos Online con Moodle;412;50
Diseño;Presupuestos, Mediciones y Certificaciones con Presto;412;50
Diseño;Revit: Iniciación al Diseño 3D;412;50
Diseño;Revit: Maquetación de Planos;330;40
Diseño;SolidWorks 2017 Iniciación;330;40
Diseño;Photoshop CS6 Avanzado;330;40
Diseño;Adobe Premiere Total CS6 Total;412;50
Diseño;Domina Canva con Inteligencia Artificial;412;50
Diseño;Canva con IA;660;80
Diseño;Figma: introducción al diseño de interfaces;165;20
Diseño;AutoCAD 2021 Avanzado;247;30
Diseño;AutoCAD 2021 Completo + 3D;660;80
Diseño;Tratamiento digital de imágenes CS6;495;60
Diseño;Adobe Firefly: Creación de Arte Digital con IA;165;20
Diseño;GIMP: Edición de imagen con software libre;330;40
Diseño;Introducción a la gestión integral del proyecto BIM (EOCO012PO);412;50
Diseño;Edición de vídeo con After Effects (medio) (IMSV002PO);247;30
Diseño;Diseño gráfico e ilustración digital;495;60
Diseño;SketchUp Total;536;65
Excel;Excel aplicado a la Gestión de la Empresa;618;75
Excel;Excel 365 inicial Total;330;40
Excel;Excel 365 TOTAL;618;75
Excel;Excel 365 Avanzado Total;330;40
Excel;Excel 365 Experto;412;50
Excel;Excel 365 Intermedio;247;30
Excel;EXCEL 2016 AVANZADO;247;30
Excel;Tablas Dinámicas con Excel;206;25
Excel;Excel 365 Avanzado con tablas dinámicas;495;60
Excel;Excel 365;495;60
Excel;Curso Excel Avanzado Tablas Dinamicas y Macros;660;80
Excel;Excel 2016/2019 Básico;247;30
Excel;Estadística Básica Aplicada con Excel;165;20
Excel;Excel: Creación y Análisis de Facturas;123;15
Excel;Especial Macros para Excel;165;20
Excel;Excel 2016/2019 Avanzado;288;35
Gestión laboral;Relaciones Laborales y Siltra;495;60
Gestión laboral;Coaching;206;25
Gestión laboral;Gestión de Recursos Humanos;495;60
Gestión laboral;Relaciones Laborales;330;40
Gestión laboral;Organización Empresarial y de Recursos Humanos;412;50
Gestión laboral;Dirección de Recursos Humanos;412;50
Gestión laboral;Nominas. Seguridad Social. Contratacion Laboral.;618;75
Gestión laboral;Planificación y Organización;206;25
Gestión laboral;Atención y fidelización de clientes;412;50
Gestión laboral;Estrategia de fidelización de clientes a través de internet;412;50
Gestión laboral;Gestión de compras en el pequeño comercio;618;75
Gestión laboral;Reclutamiento y Selección de Personal;412;50
Gestión laboral;Contratos, Nominas Y Seguridad Social Nueva Reforma 2022;578;70
Gestión laboral;Nóminas, Seguridad Social y Contratación Laboral;618;75
Gestión laboral;Dirección por Objetivos;206;25
Gestión laboral;Administración Electrónica. Identificación Digital y Factura Electrónica;288;35
Gestión laboral;Introducción a la Selección por Competencias: La Entrevista de Selección;124;15
Gestión laboral;Trello. Productividad y Gestión de Proyectos;206;25
Gestión laboral;Gestión del Compromiso de los Empleados;165;20
Gestión laboral;Funciones Administrativas en Centros Sanitarios;412;50
Gestión laboral;Creación de Empresas;412;50
Gestión laboral;Atención Presencial, Telefónica y por Internet al Cliente;247;30
Gestión laboral;ISO 45001:2018 Sistemas de Gestion de la Seguridad y Salud en el Trabajo;247;30
Gestión laboral;Reclutamiento y Seleccion de Personal Online. Uso de las Nuevas Tecnologias en la captacion del Talento;247;30
Gestión laboral;Calculo de prestaciones de la Seguridad Social;247;30
Gestión laboral;Retribuciones Salariales, Cotización y Recaudación;742;90
Gestión laboral;Sindrome de la Mujer Trabajadora;330;40
Gestión laboral;Atención al cliente en proceso comercial;330;40
Gestión laboral;Atención y Fidelización de Clientes;412;50
Gestión laboral;Delegado de Protección de Datos;495;60
Gestión laboral;Liderazgo y Dirección de Organizaciones;825;100
Gestión laboral;Punto de Venta y Psicología del Consumidor;330;40
Gestión laboral;Trabajo en grupo y equipos de alto rendimiento;288;35
Gestión laboral;Gestión Hotelera;412;50
Gestión laboral;Maitre;618;75
Gestión laboral;Jefe de Cocina;247;30
Gestión laboral;Cocina en Línea Fría;206;25
Gestión laboral;ChatGPT y IA generativa para RR. HH.: innovación en reclutamiento y gestión del talento;660;80
Gestión laboral;Prevención de riesgos laborales en empresas de limpieza;618;75
Idiomas;Alemán A1;742;90
Idiomas;Alemán B1;742;90
Idiomas;Francés avanzado B2;330;40
Inglés;Inglés nivel básico I;330;40
Inglés;Inglés nivel avanzado (IV);330;40
Inglés;Inglés. Pack I;495;60
Inglés;Ingles. Pack II;495;60
Inglés;Inglés Avanzado C1;330;40
Inglés;Inglés Básico A1;330;40
Inglés;Inglés Comercial Elemental B1;330;40
Inglés;Inglés Básico;412;50
Inglés;Inglés para Hostelería;618;75
Inglés;Preparación para el Examen B2 First de Cambridge;536;65
Inglés;Inglés Comercial Pre Intermedio B2;330;40
Inglés;Inglés Elemental A2;330;40
Inglés;Inglés Intermedio B1;330;40
Inglés;Inglés Básico A2;330;40
Inglés;Inglés Intermedio B1+;330;40
Inglés;Inglés Iniciación A1;330;40
Inglés;Inglés para Viajar A2;495;60
Inglés;Inglés: Lengua Extranjera Profesional para Gestion Administrativa en Rel.con el Cliente;742;90
Inglés;Inglés Pre Intermedio B1;330;40
Inglés;Ingles para Hosteleria y Turismo Elemental A2;330;40
Inglés;Inglés para Hostelería y Turismo Intermedio B1;330;40
Inglés;Inglés para Comercio;618;75
Inglés;Inglés C1;495;60
Internacionalización;Contratación Internacional;412;50
Internacionalización;El Seguro de Mercancías en Comercio Internacional;412;50
Internacionalización;Gestión Aduanera del Comercio Internacional;825;100
Marketing Online;Community Manager;330;40
Marketing Online;Mobile Marketing;412;50
Marketing Online;Redes Sociales y Marketing 2.0;495;60
Marketing Online;SEO y SEM;412;50
Marketing Online;Posicionamiento en Buscadores: SEO/SEM;495;60
Marketing Online;Seo y Posicionamiento Web 30 horas;247;30
Marketing Online;Marketing B2B: Vender con Éxito a Otras Empresas;206;25
Marketing Online;Google Analytics;247;30
Marketing Online;Social Media Marketing;412;50
Marketing Online;Marketing y Estrategia en Linkedin;536;65
Marketing Online;SEO y Posicionamiento Web;247;30
Marketing Online;Posicionamiento en Buscadores: Sumérgete en el Mundo del SEO/SEM;495;60
Marketing Online;Fundamentos de Diseño de Interfaces UI y UX;124;15
Marketing Online;Técnicas de Comunicación a Clientes/Consumidores;214;26
Marketing Online;Estrategia de Marketing Digital;412;50
Marketing Online;Análisis Básico del Comportamiento del Consumidor en el Punto de Venta;148;18
Microsoft Office;Outlook 2016;165;20
Microsoft Office;Excel 2007 Avanzado;412;50
Microsoft Office;Excel 2010 Básico;330;40
Microsoft Office;Excel 2013;495;60
Microsoft Office;PowerPoint 2016;618;75
Microsoft Office;PowerPoint 2021 básico;247;30
Microsoft Office;Microsoft 365 Empresas;288;35
Microsoft Office;Microsoft Forms: Crear Formularios y Cuestionarios;80;10
Microsoft Office;Trabajo en Equipo con Microsoft Teams;165;20
Microsoft Office;Teams;247;30
Microsoft Office;Office Microsoft 365 TOTAL;536;65
Microsoft Office;Internet al Completo;330;40
Microsoft Office;Access 2016/2019 Avanzado;288;35
Microsoft Office;Access 2016/2019 Básico;247;30
Microsoft Office;Word 2016 Avanzado;288;35
Microsoft Office;Word 2021 Avanzado;288;35
Microsoft Office;Word 2010/2013 Básico;247;30
Microsoft Office;Word 2016 Básico;247;30
Microsoft Office;Word 2021 Básico;247;30
Microsoft Office;Word: Maquetación Profesional de Proyectos;206;25
Microsoft Office;Copilot para Microsoft Office 365;330;40
Microsoft Office;Nuevos Entornos con Microsoft 365;495;60
Microsoft Office;Entornos Profesionales con Microsoft 365;742;90
Microsoft Office;Curso Integral Microsoft 365 Copilot Word PowerPoint Teams Outlook;280;34
Microsoft Office;PowerPoint 2021 avanzado;247;30
Microsoft Office;Power Automate avanzado en Cloud y Desktop con IA;330;40
Microsoft Office;Microsoft Power Platform e integración con SharePoint;371;45
Normativa;Manipulador de Alimentos;49;6
Normativa;Alergias e intolerancias alimentarias;165;20
Normativa;Prevención de Riesgos Laborales Básico B;247;30
Normativa;Prevención del Acoso Laboral por Razones de Sexo;206;25
Normativa;La Firma Electrónica y el DNI Electrónico;206;25
Normativa;Higiene Postural y Espalda Sana;82;10
Normativa;Gestión de la prevención de los riesgos laborales;495;60
Ofertas 2025;Photoshop e illustrator OFERTA;495;120
Ofertas 2025;PROMO 2x1;495;60
Ofertas 2025;Descuentos por Número de alumnos;495;10
Ofertas 2025;5 mejores clientes 2025;495;10
Planificacion;MS Project 2010;412;50
Planificacion;MS Project 2010/2013 al completo;908;110
Power Bi;Power Bi;495;60
Power Bi;RRHH Total ;495;200
Power Bi;RRHH Total + IA;742;290
Power Bi;Contabilidad Total 2026;496;60
Power Bi;Contabilidad Total + IA;742;90
Power Bi;PowerBI Total;990;120
Power Bi;Spring;495;60
Power Bi;BIM;495;60
Power Bi nivel 1;Power BI TOTAL;1485;180
Power Bi nivel 1;Power Bi Inicial;330;40
Power Bi nivel 1;Power Bi Inicial a Intermedio;742;90
Power Bi nivel 2;Microsoft Power Bi Avanzado;495;60
Power Bi nivel 2;Power BI Profesional;495;60
Power Bi nivel 2;Power BI: visualización avanzada e inteligencia artificial;123;15
Power Bi nivel 3;Power Bi Nivel 3 Experto;495;60
Procesos de negocio;Planificación y organización;206;25
Procesos de negocio;Microsoft Power Automate nivel 1;330;40
Procesos de negocio;Hootsuite;412;50
Procesos de negocio;Información y Gestión Operativa de la Compraventa Internacional;660;80
Procesos de negocio;DevOps: Agiliza tus Procesos de Negocio;248;30
Procesos de negocio;Consultor SAP MM: Gestión de Compras y Logística;288;35
Procesos de negocio;Google Formularios;123;15
Procesos de negocio;Creación y Edición de PDF con Nitro Pro;165;20
Procesos de negocio;Power Automate: Automatizacion de Procesos;165;20
